序号,零件名称,零件类型,三角面数,X尺寸(mm),Y尺寸(mm),Z尺寸(mm),包围盒体积(cm³),是否显示,颜色
71,GBT_901_全牙螺柱_M30_M30X145_7,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.5,是,#9fa8b1
72,GBT_901_全牙螺柱_M30_M30X145_8,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.4,是,#a5adb6
73,GBT_901_全牙螺柱_M30_M30X145_9,螺柱/螺栓/螺塞,454,145.0,29.4,30.0,128.0,是,#89939f
74,GBT_901_全牙螺柱_M30_M30X145_10,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.5,是,#8e98a3
75,GBT_901_全牙螺柱_M30_M30X145_11,螺柱/螺栓/螺塞,452,145.0,29.6,30.0,128.6,是,#949da8
76,GBT_901_全牙螺柱_M30_M30X145_12,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.4,是,#99a2ad
77,GBT_901_全牙螺柱_M30_M30X145_13,螺柱/螺栓/螺塞,452,145.0,30.0,30.0,130.5,是,#9fa8b1
78,GBT_901_全牙螺柱_M30_M30X145_14,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.2,是,#a5adb6
79,GBT_901_全牙螺柱_M30_M30X145_15,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.5,是,#89939f
80,GBT_901_全牙螺柱_M30_M30X145_16,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.4,是,#8e98a3
81,GBT_901_全牙螺柱_M30_M30X145_17,螺柱/螺栓/螺塞,456,145.0,30.0,29.4,128.0,是,#949da8
82,GBT_901_全牙螺柱_M30_M30X145_18,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.5,是,#99a2ad
83,GBT_901_全牙螺柱_M30_M30X145_19,螺柱/螺栓/螺塞,454,145.0,30.0,29.6,128.5,是,#9fa8b1
84,GBT_901_全牙螺柱_M30_M30X145_20,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.3,是,#a5adb6
85,GBT_901_全牙螺柱_M30_M30X145_21,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.5,是,#89939f
86,GBT_901_全牙螺柱_M30_M30X145_22,螺柱/螺栓/螺塞,454,145.0,30.0,30.0,130.2,是,#8e98a3
87,GBT_901_全牙螺柱_M30_M30X145_23,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.5,是,#949da8
88,GBT_901_全牙螺柱_M30_M30X145_24,螺柱/螺栓/螺塞,452,145.0,30.0,30.0,130.3,是,#99a2ad
89,GBT_901_全牙螺柱_M30_M30X145_25,螺柱/螺栓/螺塞,454,145.0,29.4,30.0,128.0,是,#9fa8b1
90,GB701_内六角螺钉M20_M20X55_1,螺柱/螺栓/螺塞,1186,30.0,30.0,75.0,67.5,是,#a5adb6
91,GB701_内六角螺钉M20_M20X55_2,螺柱/螺栓/螺塞,1188,30.0,30.0,75.0,67.5,是,#89939f
92,GB701_内六角螺钉M20_M20X55_3,螺柱/螺栓/螺塞,1178,30.0,30.0,75.0,67.5,是,#8e98a3
93,GBT_1192_圆柱销_Φ20_Φ20X110_1,销/键,544,20.0,20.0,110.0,44.0,是,#949da8
94,GBT_901_全牙螺柱_M20_M20X80_1,螺柱/螺栓/螺塞,394,20.0,20.0,80.0,31.9,是,#99a2ad
95,GBT_901_全牙螺柱_M20_M20X80_2,螺柱/螺栓/螺塞,394,20.0,20.0,80.0,32.0,是,#9fa8b1
96,GBT_901_全牙螺柱_M20_M20X80_3,螺柱/螺栓/螺塞,394,20.0,20.0,80.0,32.0,是,#a5adb6
97,GBT_901_全牙螺柱_M20_M20X80_4,螺柱/螺栓/螺塞,396,20.0,20.0,80.0,31.9,是,#89939f
98,GBT_901_全牙螺柱_M20_M20X80_5,螺柱/螺栓/螺塞,394,20.0,20.0,80.0,32.0,是,#8e98a3
99,O形圈φ95X53_2,O形圈/密封,3834,104.0,104.0,7.1,76.8,是,#949da8
100,GBT_1192_圆柱销_Φ10_Φ10X20,销/键,256,22.0,10.0,10.0,2.2,是,#99a2ad
101,防静电装置SΦ3SLDPRT,其他零件,52,3.0,3.0,3.0,0.0,是,#9fa8b1
102,防静电装置SΦ3SLDPRT_1,其他零件,52,3.0,2.9,2.9,0.0,是,#a5adb6
103,20Q347F-300LB-05-01_支承圈_1,阀座/支承类,80530,92.0,582.0,582.0,31162.6,是,#89939f
104,20Q347F-300LB-05-02_密封圈_装配_1,阀座/支承类,2160,13.0,532.0,532.0,3679.2,是,#8e98a3
105,GBT_1096_键C25_键_C25X140,销/键,258,14.0,25.0,140.0,49.0,是,#949da8
106,GBT_901_全牙螺柱_M30_M30X145_26,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.5,是,#99a2ad
107,GBT_901_全牙螺柱_M30_M30X145_27,螺柱/螺栓/螺塞,454,145.0,29.5,30.0,128.3,是,#9fa8b1
108,GBT_901_全牙螺柱_M30_M30X145_28,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.4,是,#a5adb6
109,GBT_901_全牙螺柱_M30_M30X145_29,螺柱/螺栓/螺塞,452,145.0,30.0,30.0,130.5,是,#89939f
110,GBT_901_全牙螺柱_M30_M30X145_30,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.2,是,#8e98a3
111,GBT_901_全牙螺柱_M30_M30X145_31,螺柱/螺栓/螺塞,456,145.0,30.0,30.0,130.5,是,#949da8
112,GBT_6175六角螺母_M30_26,螺母,312,28.6,44.4,50.8,64.5,是,#99a2ad
113,GBT_6175六角螺母_M30_27,螺母,312,28.6,48.4,49.7,68.8,是,#9fa8b1
114,GBT_6175六角螺母_M30_28,螺母,312,28.6,50.5,46.7,67.5,是,#a5adb6
115,GBT_6175六角螺母_M30_29,螺母,312,28.6,50.7,45.9,66.5,是,#89939f
116,GBT_6175六角螺母_M30_30,螺母,312,28.6,48.9,49.3,69.0,是,#8e98a3
117,GBT_6175六角螺母_M30_31,螺母,312,28.6,45.3,50.8,65.8,是,#949da8
118,GB701_内六角螺钉M20_M20X90_1,螺柱/螺栓/螺塞,1304,30.0,30.0,110.0,99.0,是,#99a2ad
119,GB701_内六角螺钉M20_M20X90_2,螺柱/螺栓/螺塞,1310,30.0,30.0,110.0,99.0,是,#9fa8b1
120,GB701_内六角螺钉M20_M20X90_3,螺柱/螺栓/螺塞,1306,30.0,30.0,110.0,99.0,是,#a5adb6
121,GBT_1096_键C25_键_C25X140_1,销/键,258,14.0,25.0,140.0,49.0,是,#89939f
122,GBT_6175六角螺母_M20_1,螺母,284,32.6,30.6,20.3,20.3,是,#8e98a3
123,GBT_6175六角螺母_M20_2,螺母,284,32.6,30.6,20.3,20.3,是,#949da8
124,GBT_6175六角螺母_M20_3,螺母,284,32.6,30.6,20.3,20.3,是,#99a2ad
125,GBT_6175六角螺母_M20_4,螺母,284,32.6,30.6,20.3,20.3,是,#9fa8b1
126,GBT_6175六角螺母_M20_5,螺母,284,32.6,30.6,20.3,20.3,是,#a5adb6
127,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_1,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
128,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_2,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
129,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_3,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
130,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_4,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
131,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_5,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
132,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_6,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
133,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_7,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
134,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_8,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
135,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_9,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
136,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_10,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
137,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_11,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
138,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_12,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
139,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_13,弹簧,1732,23.0,13.5,13.5,4.2,是,#89939f
140,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_14,弹簧,1732,23.0,13.5,13.5,4.2,是,#8e98a3
141,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_15,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
142,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_16,弹簧,1732,23.0,13.5,13.5,4.2,是,#99a2ad
143,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_17,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
144,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_18,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
145,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_19,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
146,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_20,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
147,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_21,弹簧,1732,23.0,13.5,13.5,4.2,是,#949da8
148,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_22,弹簧,1732,23.0,13.5,13.5,4.2,是,#99a2ad
149,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_23,弹簧,1732,23.0,13.5,13.5,4.2,是,#9fa8b1
150,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_24,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
151,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_25,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
152,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_26,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
153,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_27,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
154,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_28,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
155,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_29,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
156,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_30,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
157,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_31,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
158,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_32,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
159,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_33,弹簧,1732,23.0,13.5,13.5,4.2,是,#949da8
160,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_34,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
161,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_35,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
162,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_36,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
163,防火石墨绳_3X3_1,石墨/防火,744,3.0,532.0,531.7,848.6,是,#89939f
164,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_37,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
165,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_38,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
166,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_39,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
167,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_40,弹簧,1728,23.0,13.5,13.5,4.2,是,#9fa8b1
168,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_41,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
169,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_42,弹簧,1728,23.0,13.5,13.5,4.2,是,#89939f
170,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_43,弹簧,1728,23.0,13.5,13.5,4.2,是,#8e98a3
